Condition,Medicine Names,Purpose
Fever,"Paracetamol, Ibuprofen, Acetaminophen",Reduces fever and relieves pain
Cold,"Antihistamines (Cetirizine, Loratadine), Decongestants (Pseudoephedrine, Phenylephrine)",Relieves nasal congestion and allergy symptoms
Cough,"Dextromethorphan, Guaifenesin, Codeine",Suppresses cough and loosens mucus
Stomach Ache,"Antacids (Ranitidine, Omeprazole), Antispasmodics (Dicyclomine)",Relieves abdominal pain and spasms
Food Poisoning,"Oral Rehydration Salts (ORS), Metronidazole, Ciprofloxacin",Treats dehydration and bacterial infections
Pain Management (Post-Surgery),"Paracetamol, Ibuprofen, Tramadol, Morphine",Relieves post-surgery pain
Infection Prevention (Post-Surgery),"Amoxicillin, Ceftriaxone, Metronidazole",Prevents infections at the surgical site
Blood Clot Prevention (Post-Surgery),"Heparin, Enoxaparin, Aspirin",Reduces the risk of blood clots
Inflammation Control (Post-Surgery),"Prednisolone, Dexamethasone",Controls post-surgery inflammation
Wound Healing Support (Post-Surgery),"Multivitamins, Zinc supplements, Collagen-based supplements",Supports faster healing of wounds
Preoperative Medications,Midazolam,Sedative to relax the patient before surgery
Preoperative Medications,Lorazepam,Sedative to reduce anxiety
Preoperative Medications,Atropine,Reduces secretions and prevents bradycardia
Preoperative Medications,Glycopyrrolate,Reduces respiratory and salivary secretions
Preoperative Medications,Cefazolin,Prophylactic antibiotic to prevent infection
Preoperative Medications,Cefuroxime,Antibiotic for surgical infection prevention
Preoperative Medications,Ondansetron,Prevents nausea and vomiting during surgery
Preoperative Medications,Metoclopramide,Reduces nausea and helps gastric emptying
Preoperative Medications,Fentanyl,Pain management as part of anesthesia
Generalized tonic-clonic seizures,"Phenytoin, Valproate, Levetiracetam","Stabilize neuronal membranes, prevent seizure spread, and modulate neurotransmitter release."
Partial seizures (focal),"Carbamazepine, Lamotrigine",Block sodium channels to reduce nerve excitability and stabilize neuronal membranes.
Absence seizures,"Ethosuximide, Valproate",Reduce abnormal calcium currents and suppress broad-spectrum seizures.
